created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1
10/1/2020 6:51,Uganda,925,21,Uganda,"Kampala, Uganda",1,thebrink_news,#Uganda,"#TheBrinkNews I Kampala Mayorship: Chameloene Runs As Independent, Vows to Win  Read on https://t.co/ujWMwZo2s1 via @thebrink_news #Uganda #UgandaNews https://t.co/xgCTfYnjGH",1.31156E+18,THE BRINK NEWS,0.5859,Politics,Uganda
10/1/2020 6:48,Uganda,147,413,Uganda,"Kampala, Uganda",0,rockiesorg,#Uganda,"#Uganda As we open Boarders for foreign tourists today, here is an Anthem that will give you a great feel of this wonderful motherland @UgTourismBoard @UWEC_EntebbeZoo @UG_Airlines #RestartTourism https://t.co/wa2516GL6Z",1.31156E+18,#Nyange🇺🇬,0.8582,Politics,Uganda
10/1/2020 6:47,Uganda,3375,628,Uganda,Belgique,3,dzaneza,#Uganda,"1st Oct 1990 - 1st Oct 2020 Millions killed for the glory of a few. 30 years later, nothing has changed. May their souls rest in peace. -DZS  #MurakaZaneza #Genocide #DRC #Congo #Burundi #Rwanda #RwOT #Tanzania #Uganda #Genocost #TutsiGenocide #HutuGenocide #MappingReport https://t.co/bqSZ87kNa1",1.31156E+18,Denise Zaneza,0.3612,Politics,Uganda
10/1/2020 6:30,Uganda,176,147,Uganda,,0,Mattiecat13701,#Uganda,"Millions of women and their unborn babies die everyday in #Afghanistan, #Pakistan, #India, #Iran, #Somalia, #Uganda, #Namibia, #Congo, #Nigeria, #Chad etc. one celebrity couple in the States lose their baby and it makes headlines. Boohoo, Cry me a fucking river",1.31155E+18,Abernathy,-0.8658,Politics,Uganda
10/1/2020 6:26,Uganda,5776,1713,Uganda,"Kampala, Uganda",2,hustleking02,#Uganda,"Not everyone that says I love you truly means it , some have self interests 😵🥺#Uganda",1.31155E+18,HustleKing 👑,0.8442,Politics,Uganda
10/1/2020 6:23,Uganda,80979,1118,Uganda,Uganda,1,ChimpReports,#Uganda,Court Extends Summons to Equal Opportunities Commission Boss  #ChimpReportsNews #Uganda #UgandaNews #Featured #BusinessNews #Court @EOC_UG @LaspnetUganda @AntiGraft_SH #IDOPUG2020  #ThursdayMotivation #News  https://t.co/TNEQICFoQa,1.31155E+18,ChimpReports,0.4767,Politics,Uganda
10/1/2020 6:22,Uganda,4256,340,Uganda,,0,Steve_RF,#Uganda,Government to issue certificates  of compliance to schools  https://t.co/M0KY3gHMvf via @DailyMonitor #education #Uganda,1.31155E+18,Steve D,0,Politics,Uganda
10/1/2020 6:21,Uganda,4256,340,Uganda,,0,Steve_RF,#Uganda,Government issues tough travel rules as airport reopens https://t.co/v0hiiBfCsv via @DailyMonitor ✈️ 🇺🇬 #Uganda,1.31155E+18,Steve D,-0.128,Politics,Uganda
10/1/2020 6:18,Uganda,142,511,Uganda,"England, United Kingdom",0,Faizal_575,#Uganda,"#Uganda opening the boarders on 1st Oct while illusion is still closed doesn’t make sense, they might as well leave them shut",1.31155E+18,Faizal Kiyingi,0.2263,Politics,Uganda
10/1/2020 6:14,Uganda,239,632,Uganda,"Kampala, Uganda",1,Sitestravelug,#Uganda,May all that you do in this new month be productive and successful. Happy New Month! #October1st #TheWorldIsYoursTeam #VisitUganda #traveler #tourism #HappyNewMonth #travelgram #travelphotography #uganda #WearAMaskSaveALife #travelbloggers https://t.co/E1R69pJw9W,1.31155E+18,Sites Travel Uganda ltd,0.8313,Politics,Uganda
10/1/2020 6:13,Uganda,80979,1118,Uganda,Uganda,0,ChimpReports,#Uganda,"@MinofHealthUG Procures 10,000 Megaphones to Spread #Covid_19 Prevention Messages as Uganda Enters Phase 4 Of #Covid19 Transmission #ChimpReportsNews #Uganda #UgandaNews #Featured #Health @JaneRuth_Aceng @DianaAtwine  #IDOPUG2020 #ThursdayMotivation #News  https://t.co/IQ85TJiWvD",1.31155E+18,ChimpReports,0,Politics,Uganda
